allocation_id,employee_code,project_id,allocation_percentage,effective_from,effective_to,status,created_by,change_reason
93,EMP0039,PRJ004,60,2023-01-15,2023-09-15,completed,EMP0001,Data scientist
94,EMP0039,PRJ002,80,2023-10-01,,active,EMP0001,ML engineer
95,EMP0040,PRJ005,50,2023-11-01,2024-07-31,completed,EMP0001,Product manager
96,EMP0040,PRJ003,70,2024-08-15,,active,EMP0001,Product owner
97,EMP0041,PRJ001,80,2023-12-01,2024-08-31,completed,EMP0001,Scrum master
98,EMP0041,PRJ004,60,2024-09-01,,active,EMP0001,Agile facilitator
99,EMP0042,PRJ002,70,2023-03-15,2023-11-15,completed,EMP0001,Technical lead
100,EMP0042,PRJ005,90,2023-12-01,,active,EMP0001,Architecture lead
101,EMP0043,PRJ003,40,2023-05-01,2024-01-31,completed,EMP0001,Release engineer
102,EMP0043,PRJ001,80,2024-02-15,,active,EMP0001,Deployment specialist
103,EMP0044,PRJ004,60,2023-08-01,2024-04-30,completed,EMP0001,Site reliability engineer
104,EMP0044,PRJ002,70,2024-05-15,,active,EMP0001,Platform engineer
105,EMP0045,PRJ005,90,2023-10-15,2024-06-15,completed,EMP0001,Solutions architect
106,EMP0045,PRJ003,50,2024-07-01,,active,EMP0001,Technical consultant
107,EMP0046,PRJ001,40,2023-02-01,2023-10-31,completed,EMP0001,Business intelligence analyst
108,EMP0046,PRJ004,80,2023-11-15,,active,EMP0001,Data analyst
109,EMP0047,PRJ002,70,2023-06-15,2024-02-15,completed,EMP0001,Cybersecurity analyst
110,EMP0047,PRJ005,60,2024-03-01,,active,EMP0001,Security engineer
111,EMP0048,PRJ003,80,2023-04-01,2023-12-31,completed,EMP0001,Machine learning specialist
112,EMP0048,PRJ001,90,2024-01-15,,active,EMP0001,AI engineer
113,EMP0049,PRJ004,50,2023-07-15,2024-03-15,completed,EMP0001,Integration developer
114,EMP0049,PRJ002,70,2024-04-01,,active,EMP0001,Middleware specialist
115,EMP0050,PRJ005,60,2023-09-01,2024-05-31,completed,EMP0001,Cloud solutions architect
116,EMP0050,PRJ003,80,2024-06-15,,active,EMP0001,Cloud platform lead
